row_id,v1_line_start,v1_line_end,claim_summary,evidence_class,source_anchor,verification_method,verified_by,verified_date,notes
P-024,177,184,"Definitions: generative model, generative process, variational/recognition density, exact posterior, surprisal, VFE, ELBO",A,Audit §D.1-D.5 + standard VI textbook,re-derivation from definitions,Claude-P1,2026-04-25,
P-025,178,178,"Generative process != generative model; SOURCE B Fig 2.2 caption",B,book_9780262369978 (1).txt:1099,direct quote,Claude-P1,2026-04-25,"Verbatim: 'The hidden states of the generative model and the generative process are not the same.'"
P-026,189,194,"Active-inference partition (eta, s, a, r) with y=(s,a,r)",B,Maren_TR-2019-01v6.txt:31-32 + book_9780262369978 (1).txt Box 3.1,direct read,Claude-P1,2026-04-25,
P-027,206,225,"Chapter 2 setup: y, eta, p(y, eta|m), q(eta|r), assumptions A1-A3",A,Audit §D.1, §D.5,definition + assumption audit,Claude-P1,2026-04-25,"v2 should tighten A3 per Plan §3.2."
P-028,229,232,"Definition F[q] := integral q ln(q/p(y,eta|m)) d eta",A,Definition,definition,Claude-P1,2026-04-25,
P-029,234,241,"Form 1 derivation: F[q] = E_q[-ln p(y,eta|m)] - H[q]",A,Audit §D.1,re-derivation by splitting log,Claude-P1,2026-04-25,
P-030,243,254,"Form 2 derivation via Bayes: F[q] = KL(q||p(eta|y,m)) - ln p(y|m)",A,Audit §D.2,re-derivation,Claude-P1,2026-04-25,"Identical content to SOURCE B Eqn 2.5 third line (corpus line 1321)."
P-031,256,256,"'Identities (★) and (★★) match Parr/Pezzulo/Friston 2022 Eqn 2.5'",B,book_9780262369978 (1).txt:1299,direct quote of Eqn 2.5,Claude-P1,2026-04-25,"Verbatim Eqn 2.5 has 3 forms; v1 boxes 2 of 3. v2 should add the Complexity-Accuracy form (Plan §3.1)."
P-032,260,264,"Lemma 1: F[q] >= L(y) under A1-A3, equality iff q=p(eta|y,m) a.e.",A,Audit §D.3,Gibbs inequality,Claude-P1,2026-04-25,
P-033,268,278,"Lemma 2: ELBO = ln p(y|m) - KL(q||p(eta|y,m)); F[q] = -ELBO[q]",A,Audit §D.4,re-derivation,Claude-P1,2026-04-25,
P-034,282,286,"Chapter 2 establishes: master identity, bound, ELBO/VFE relation",A,Audit §D.1-§D.4,re-derivation,Claude-P1,2026-04-25,
P-035,290,294,"Chapter 2 does NOT establish: action-claim, NESS, CVM, physical Helmholtz/Gibbs identification",E,—,scope-disclaimer,Claude-P1,2026-04-25,
P-036,303,308,"Bound hierarchy table: ELBO lower-bounds log p(y); VFE upper-bounds -log p(y); F[q] = -L(q); tightness at q=p(eta|y,m)",A,Audit §D.6,re-derivation,Claude-P1,2026-04-25,"v2 should add note that rows 1-2 are sign-flipped restatements (Plan §3.4)."
P-037,317,317,"Parr/Pezzulo/Friston 2022 explicitly states 'free energy is an upper bound on negative log evidence' five times at lines 1397, 1452, 1605, 2284, 2433",B,book_9780262369978 (1).txt:1397/1452/1605/2284/2433,direct quote at each,Claude-P1,2026-04-25,"All 5 verified verbatim in audit §B."
P-038,323,326,"Three common slips in the convention: 'lower bound' wording, 'free energy of external system' overreach, F=L+KL vs F bounded by L",C,Audit §H.10,interpretive-judgment,Claude-P1,2026-04-25,
P-039,333,335,"Practical content: optimization makes sense; evidence approximation; tightness has structural meaning",A,Audit §D.3-§D.4,re-derivation consequences,Claude-P1,2026-04-25,
P-040,339,339,"Numerical anchor for Test 1: discrete two-state model, F=0.945 at uniform q, surprisal 0.371, posterior 0.913",A,audit_tests_v2.py Test 1,re-execution,Claude-P1,2026-04-25,"All values reproduce; see manuscript-v2-reproducibility/reference_output.txt."
P-041,349,351,"q is approximate/recognition density; p(eta|y,m) is exact posterior under model",A,Audit §C.E1 anchor,direct read of SOURCE A line 34,Claude-P1,2026-04-25,
P-042,357,361,"Four breakdowns under role swap: bound interpretation, optimization story, equality discussion, thermodynamic analogy",C,Audit §F.6,interpretive-judgment,Claude-P1,2026-04-25,
P-043,367,369,"Recognition-density usage in Friston / active-inference",B,book_9780262369978 (1).txt:1283-1285,direct quote: 'approximate posterior is sometimes called a variational or recognition distribution',Claude-P1,2026-04-25,
P-044,373,373,"Numerical anchor for Test 2: F[q] tracks KL exactly; bound margin = KL",A,audit_tests_v2.py Test 2,re-execution,Claude-P1,2026-04-25,
P-045,377,377,"q/p slip in audited manuscript is repairable in one sentence (line 34); we treat as wording issue",C,Audit §C.E1 + Plan §3.5,interpretive-judgment,Claude-P1,2026-04-25,"v2 should add propagation note per Plan §3.5."
P-046,387,388,"Generative process: actual causal mechanism producing observations; variables may be inaccessible to agent",B,book_9780262369978 (1).txt:1094-1106,direct quote of Fig 2.2 caption,Claude-P1,2026-04-25,
P-047,388,389,"Generative model: agent's joint p(y, eta|m); a construct, not the world",B,book_9780262369978 (1).txt:1094-1106,direct quote of Fig 2.2 caption,Claude-P1,2026-04-25,
P-048,396,396,"Careful reading: p(eta|y, m) is the model's inferred distribution; world's eta* may live in different space",B,book_9780262369978 (1).txt:1101-1106,direct quote,Claude-P1,2026-04-25,"Verbatim: 'x* and x do not necessarily live in the same space.'"
P-049,402,405,"Consequences: F[q] upper-bounds model's surprisal not world's; 'both systems minimize free energy' requires NESS",B,book_9780262369978 (1).txt:1416-1455 + Friston (2013) NESS,SOURCE B + Layer 2 ref,Claude-P1,2026-04-25,"NESS arg not re-derived; Plan §2.3 specifies Layer 2 inspection."
P-050,409,409,"Repair: replace 'actual distribution of external system' with 'exact posterior over external states under generative model'",C,Audit §C.E6,interpretive-judgment,Claude-P1,2026-04-25,
P-051,411,411,"UNRESOLVED TENSION (Class D/U): NESS / steady-state arguments not re-derived",U,Audit §I.2,explicit-deferral,Claude-P1,2026-04-25,"Layer 2 gate; specified in Layer2_Inspection_Specs.md §3."
P-052,421,425,"Markov blanket CI definition: mu _||_ x | b iff p(mu, x | b) = p(mu | b) p(x | b)",B,book_9780262369978 (1).txt:1938,direct quote of Box 3.1,Claude-P1,2026-04-25,"SOURCE B uses single-bar; v1 standardizes to double-bar (Plan §3.7 footnote)."
P-053,427,427,"Markov blanket as causal/process diagram (b)",B,book_9780262369978 (1).txt:1961-1965,direct quote,Claude-P1,2026-04-25,
P-054,429,429,"Markov blanket as inference architecture (c) — modeling choice",C,Audit §F.8,interpretive-judgment,Claude-P1,2026-04-25,
P-055,443,449,"Active-inference partition: eta _||_ r | (s, a)",C,book_9780262369978 (1).txt Box 3.1 + Friston 2013,interpretive-extension,Claude-P1,2026-04-25,
P-056,453,453,"Numerical anchor for Test 8: CI residual to machine precision",A,audit_tests_v2.py Test 8,re-execution,Claude-P1,2026-04-25,"v1 stated 6e-17; reproduces at 1.11e-16 = 1 machine eps. v2 corrects to '< 5e-16'."
P-057,469,473,"Structural similarity: F = expected energy - entropy is real",B,Standard variational/thermodynamic theory,canonical reference,Claude-P1,2026-04-25,
P-058,479,481,"Sengupta-Stemmler-Friston (2013) quote: 'variational free energy is not the Helmholtz free energy'",B,Maren_TR-2019-01v6.txt:68,direct read of SOURCE A line 68 (quoting Sengupta),Claude-P1,2026-04-25,"Layer 2 inspection of Sengupta primary text required."
P-059,481,481,"'Enthalpy' label too aggressive; no pV analog",C,Audit §F.9,terminological-judgment,Claude-P1,2026-04-25,
P-060,483,483,"Helmholtz vs. Gibbs distinction not engaged; analogy extends only to energy-minus-entropy structure",C,Audit §F.9,interpretive-judgment,Claude-P1,2026-04-25,
P-061,487,495,"Appendix B sign issue: H = sum q ln p without minus is wrong sign",A,Audit §C.E8 + audit_tests_v2.py Test 9,direct read of SOURCE A line 457 + numerical falsification,Claude-P1,2026-04-25,"Caveat: PDF extraction may have lost minus sign; Layer 2 inspection of original Maren PDF required (Plan §3.11)."
P-062,510,512,"CVM treated as promising proposal; bridge not yet supplied",D,Audit §C.E10,direct read of SOURCE A Section 8,Claude-P1,2026-04-25,
P-063,516,519,"What's attractive about CVM proposal: internal landscape, configuration variables, analytic equilibrium, computational substantiveness",C,Maren_TR-2019-01v6.txt:327-367,direct read,Claude-P1,2026-04-25,
P-064,523,528,"Four-item bridge checklist: generative model, variational family, objective relationship, assumptions",A,Audit §D / Plan §3,logical-derivation of what would be needed,Claude-P1,2026-04-25,
P-065,534,534,"Sketch of proposed proposition: F_CVM = F[q_phi] + R(phi) under stated assumptions",D,—,proposal,Claude-P1,2026-04-25,
P-066,540,540,"Numerical anchor for Test 10: F_CVM and F[q] take different values (illustrative sketch)",C,audit_tests_v2.py Test 10,re-execution + Bethe cluster expansion,Claude-P1,2026-04-25,"Plan §1.4 path (a₂) implemented."
P-067,544,546,"Verdict: CVM material promising-but-incomplete; bridge requirements enumerated",C,Audit §C.E10,interpretive-summary,Claude-P1,2026-04-25,
P-068,556,599,"Stress-test summary (Tests 1-10 in Chapter 9): all reproduce per audit §E",A,audit_tests_v2.py + reference_output.txt,re-execution under deterministic environment,Claude-P1,2026-04-25,"73/73 pytest tests pass; bit-identical to reference_output.txt; cross-platform via Dockerfile + CI."
P-069,609,613,"What appears safe: master identity, bound, role assignment, CI definition, structural form of analogy",A,Audit §F.12 §I.1,re-derivation + direct source reads,Claude-P1,2026-04-25,
P-070,617,628,"What appears repairable: 10 enumerated edits of one-or-two sentences each",C,Audit §F.18 + Plan §3-§5,interpretive-summary of error register,Claude-P1,2026-04-25,
P-071,631,635,"What remains open: CVM bridge (D); NESS-licensed claims (C/D); Langevin form (C); EFE (out of scope); extraction artifacts (U)",U,Audit §I.2 + Plan §2,explicit-deferral,Claude-P1,2026-04-25,
P-072,640,640,"What we are NOT claiming: Maren not 'wrong'; AII not 'in trouble'; framing-only refinements",E,—,scope-disclaimer,Claude-P1,2026-04-25,
P-073,649,683,"Chapter 11 ethics: AI can-and-cannot do; provenance importance; public correction; humility-as-accuracy; non-credentialed organic operator",E,—,project-ethics-framing,Claude-P1,2026-04-25,
P-074,691,694,"Conclusion: master identity boxed; F[q] >= -ln p(y|m); ELBO = -F[q]; KL>=0",A,Audit §D + reference output,re-derivation,Claude-P1,2026-04-25,
P-075,703,703,"Overall confidence 8/10 on math core; 2-pt reduction listed",E,—,self-rating,Claude-P1,2026-04-25,"v2 should reconcile with audit's 8.5/10 (Plan H.11)."
P-076,705,705,"Fully verified: master identity, bound direction, ELBO/VFE sign, discrete and continuous numerical anchors, CI definition, Appendix B sign, CVM bridge gap",A,Audit §I.1,direct read + re-execution,Claude-P1,2026-04-25,
P-077,707,707,"Partially verified: L expansion (counter-example), Helmholtz/Gibbs warning (terminological), garbled appendix equations",C/U,Audit §I.2,explicit-status,Claude-P1,2026-04-25,
P-078,709,709,"Not verified due to source limitations: Beal (2003), Friston (2013, 2015), Sengupta et al., Hafner et al., Friston et al. (2024), Kikuchi (1967)",U,Audit §I.2 + Plan §2.2-§2.6,Layer 2 deferred,Claude-P1,2026-04-25,"Layer 2 inspection specs in Layer2_Inspection_Specs.md."
P-079,711,711,"What would increase confidence: expert review by Friston/Maren/AII; direct Beal inspection; independent stress-test re-execution; CVM bridge proposition",E,—,suggestion,Claude-P1,2026-04-25,
P-080,713,713,"Suggested next steps: 2 expert reviews, independent test re-execution, clean LaTeX recheck, CVM bridge or revise §8, public reproducibility repo, frontmatter changelog",E,Plan §6, §7,publication-roadmap,Claude-P1,2026-04-25,"Reproducibility repo done in Phase P0; remaining items in Plan."
P-081,725,733,"Appendix A theorem: master identity formal statement under (A1)-(A3)",A,Audit §D.5,re-derivation,Claude-P1,2026-04-25,
P-082,737,753,"Appendix A proof: integral-form definition; Bayes; normalization; Gibbs inequality",A,Audit §D.5,re-derivation,Claude-P1,2026-04-25,
P-083,757,759,"Appendix A corollary: Beal-Friston sign convention F = -L; L <= ln p(y|m)",A,Audit §D.4,re-derivation,Claude-P1,2026-04-25,
P-084,763,763,"Appendix A equality conditions: q = p(eta|y, m) a.e. corresponds to exact perceptual inference",A,Gibbs inequality,re-derivation,Claude-P1,2026-04-25,
P-085,767,769,"Appendix A.5 assumptions audit: A1 needed for Bayes definability; A2 needed for finite KL; A3 for integrability",A,Audit §D.5,re-derivation,Claude-P1,2026-04-25,"v2 should tighten A3 to expectation-finiteness (Plan §3.2)."
P-086,779,793,"Appendix B notation crosswalk: Friston/Maren vs Beal vs Blei",B,Maren_TR-2019-01v6.txt:113-117 + Beal/Blei standard usage,direct read of Maren Table 4 + Layer 2 inspection of Beal & Blei,Claude-P1,2026-04-25,"Beal and Blei not directly inspected; secondary-cite. Layer 2 specs in Layer2_Inspection_Specs.md."
P-087,797,797,"Beal's F is the negative of Friston's F (sign flip)",C,Maren_TR-2019-01v6.txt:201,quoted in Maren,Claude-P1,2026-04-25,"Layer 2 inspection of Beal Eqn 2.34 required (Plan §2.2)."
P-088,809,824,"Test 1 setup and computed values (re-executed in audit_tests_v2.py)",A,audit_tests_v2.py,re-execution,Claude-P1,2026-04-25,
P-089,828,839,"Test 2 sweep over q values; F tracks KL",A,audit_tests_v2.py,re-execution,Claude-P1,2026-04-25,
P-090,843,843,"Test 3 support mismatch; KL diverges",A,audit_tests_v2.py,re-execution,Claude-P1,2026-04-25,
P-091,847,859,"Test 4 Gaussian conjugate; closed-form KL",A,audit_tests_v2.py,re-execution (analytic in v2),Claude-P1,2026-04-25,"v1 used MC; v2 uses closed-form; both verify bound."
P-092,863,863,"Test 5 sign convention; F + ELBO = 0",A,audit_tests_v2.py,re-execution,Claude-P1,2026-04-25,
P-093,867,867,"Test 6 L expansion (sample (0,1,1,1,0); iid surprisal 3.456 nats per v1; corrected to 3.4780 in v2)",A,audit_tests_v2.py,re-execution + arithmetic re-check,Claude-P1,2026-04-25,"v1 number 3.456 was arithmetic error; correct value 3.4780. v2 uses explicit data vector with no RNG."
P-094,871,871,"Test 7 measure transformation; E[eta^2] vs E[r^2]",A,audit_tests_v2.py,re-execution (analytic in v2),Claude-P1,2026-04-25,
P-095,875,881,"Test 8 Markov blanket CI to machine precision (residual < 6e-17 per v1; corrected to '< 5e-16' in v2)",A,audit_tests_v2.py,re-execution,Claude-P1,2026-04-25,"v1 bound was too tight; corrected to '< 5e-16' (4 epsilon)."
P-096,885,885,"Test 9 Appendix B sign; one minus sign repairs F",A,audit_tests_v2.py,re-execution,Claude-P1,2026-04-25,
P-097,889,889,"Test 10 CVM bridge (sketch); F_CVM != F[q]",C,audit_tests_v2.py Test 10,re-execution + generic Bethe cluster expansion,Claude-P1,2026-04-25,"v2 implements generic Kikuchi (path a₂); not Maren-specific CVM (would require Layer 2 with full configuration-variable apparatus)."
P-098,893,893,"Reproducibility note: tests can be re-run in 10-30 lines of Python",A,manuscript-v2-reproducibility/,reproducibility repo built in Phase P0,Claude-P1,2026-04-25,
P-099,905,920,"Error register E1-E15: 6 serious, 7 moderate, 1 minor",A,Audit §C.E1-E10 + §F.18,direct line-reads of SOURCE A,Claude-P1,2026-04-25,"All E1-E10 verified by direct observation in audit §C."
P-100,931,943,"Provenance: SOURCE A, B, C, project notes, CLAUDE.md directly inspected; Beal, Friston (2013, 2015), Sengupta, Hafner, Friston (2024), Kikuchi, Blei NOT directly inspected",E,Audit §G,direct check,Claude-P1,2026-04-25,"Layer 2 inspection plans in Layer2_Inspection_Specs.md."
P-101,947,953,"Appendix E.2 AI assistance: drafting, derivation, stress-test design, adversarial review",E,—,project-disclosure,Claude-P1,2026-04-25,"v2 should be more explicit about multi-session chain (Plan §4.1)."
P-102,957,967,"What was tested vs inferred (Class A/B/C/D/E/U breakdown)",E,Audit §G,evidence-classification,Claude-P1,2026-04-25,
P-103,971,974,"Limits of AI assistance: subtle errors; authoritative-sounding prose; cannot certify; not peer-reviewed",E,—,project-disclosure,Claude-P1,2026-04-25,"v2 should acknowledge SOURCE C and prior Claude audit are AI-conducted (Plan §4.2)."
P-104,983,1000,"Appendix F invitation: ten review questions; correction granularities; promise to publish changelog",E,—,review-invitation,Claude-P1,2026-04-25,
P-105,1027,1041,"Final confidence statement and limitations (verbatim per Conclusion)",E,—,reiteration,Claude-P1,2026-04-25,
P-106,n/a,n/a,"Form 3 (Complexity-Accuracy): F[q] = D_KL(q||p(eta|m)) - E_q[ln p(y|eta,m)] -- third form of SOURCE B Eqn 2.5; added to v2 Chapter 2 via patch P-12",A,Phase_P2_OODA.md §P2-OODA-3 derivation + audit_tests_v2.py Test 11 + book_9780262369978 (1).txt:1315 (label),re-derivation + numerical re-execution on toy + Gaussian models,Claude-P2,2026-04-25,"Symbolic derivation in Phase_P2_OODA; numerical agreement with Forms 1 and 2 to floating-point precision on both discrete and Gaussian setups."
P-107,n/a,n/a,"A3 (assumptions) tightened to expectation-finiteness across all 5 log-densities used by Forms 1, 2, 3 -- patch P-13 refined in P2",A,Phase_P2_OODA.md §P2-OODA-4,measure-theoretic verification,Claude-P2,2026-04-25,"Refinement caught: original A3 didn't cover prior + likelihood expectations needed for Form 3."
P-108,n/a,n/a,"Test 11 (Complexity-Accuracy form numerical verification) -- audit_tests_v2.py Test 11 + tests/test_11_complexity_accuracy.py",A,manuscript-v2-reproducibility/audit_tests_v2.py + tests/test_11_complexity_accuracy.py,re-execution + 13 individual pytest assertions,Claude-P2,2026-04-25,"Form 3 agrees with Forms 1 & 2 to floating-point precision on toy + Gaussian models. 13 pytest assertions added (87 total in suite)."
P-109,n/a,n/a,"E2 split into E2a (bound direction reversed) and E2b (L misnamed as 'free energy of external system') -- patch P-24 refined in P2 with aggravating context (line 318 acknowledges reversal that line 319 fails to apply)",A,Phase_P2_OODA.md §P2-OODA-11 + Maren_TR-2019-01v6.txt:315-319,direct re-read of SOURCE A,Claude-P2,2026-04-25,"P2 finding: line 318 *explicitly acknowledges* the Beal->Friston inequality reversal; line 319 immediately applies the un-reversed (Beal) direction. Aggravating context."
P-110,n/a,n/a,"E7 wording refined into three-locus enumeration with category-error finding -- patch P-25 refined in P2",A,Phase_P2_OODA.md §P2-OODA-12 + Maren_TR-2019-01v6.txt:134/141/195-197,direct re-read of SOURCE A at three loci,Claude-P2,2026-04-25,"P2 finding: locus 3 contains a category error (L is scalar, not distribution). Three loci individually documented."
P-111,n/a,n/a,"Patch P-18 (parameter learning) refined to flag Beal §2.2.2 and Blei §2.3 cites as secondary, with Layer 2 cross-reference",E,Phase_P2_OODA.md §P2-OODA-9 + Layer2_Inspection_Specs.md §1, §7,citation discipline,Claude-P2,2026-04-25,
P-112,n/a,n/a,"Patch P-26 (E8 Layer 2 gate) refined to make explicit cross-reference to Layer2_Inspection_Specs.md §6, including bundled inspection of other extraction-garbled equations (Eqns 5, 9, 10, 12, 14)",E,Phase_P2_OODA.md §P2-OODA-13 + Layer2_Inspection_Specs.md §6,citation discipline,Claude-P2,2026-04-25,
P-113,n/a,n/a,"v2 title (post-Patch P-1): 'An Organic Operator and AI Operator Collaborative Review of Active Inference Free Energy Minimization: Reviewable Foundations, Reproducible Tests, and Open Tensions' -- Phase P3 Option C selected from 4-way tradeoff analysis",E,Phase_P3_OODA.md §P3-OODA-1,project-framing,Claude-P3,2026-04-25,"Title accurately labels what body delivers; no overclaim. Verified by reading body's chapter structure."
P-114,n/a,n/a,"Title-phrase note (v1 line 11) removed in v2 -- no longer needed once title doesn't claim 'Pure Unification' (Patch P-2)",E,—,project-framing,Claude-P3,2026-04-25,
P-115,n/a,n/a,"Audience claim softening (Patch P-3 refined in Phase P3): two loci -- preventive search-and-replace for 'may be reviewed by' phrase + active replacement of v1 line 711's named-reviewer suggestion list",E,Phase_P3_OODA.md §P3-OODA-3 + v1.md:711,corpus survey + replacement,Claude-P3,2026-04-25,"P3 corpus survey found v1 has zero 'may be reviewed by' instances but does have audience-claim risk at line 711. Refined patch covers both."
P-116,n/a,n/a,"Maren-as-test-case Preface paragraph (Patch P-4 refined in Phase P3): adds four specific verified pedagogical contributions of Maren TR-2019-01v6 (suppressed sums; Sengupta caveat; Beal-Friston sign-flip; two-form presentation)",E,Phase_P3_OODA.md §P3-OODA-4 + Manuscript_Draft_v1_Audit.md §3.1,corpus survey + audit cross-reference,Claude-P3,2026-04-25,"Refinement makes 'test case, not target' framing more credible by crediting specific verified contributions."
P-117,n/a,n/a,"Pre-publication AI disclosure template (Patch P-11 refined in Phase P3): cross-references new Pre_Publication_Checklist.md with venue-by-venue compliance gates",E,Phase_P3_OODA.md §P3-OODA-5 + Pre_Publication_Checklist.md,publication-process framing,Claude-P3,2026-04-25,
P-118,n/a,n/a,"Pre_Publication_Checklist.md: 9 sections covering universal gates (U1-U10), arXiv (A1-A9), OSF/Zenodo (O1-O6), peer-reviewed journals (J1-J8), KDP (K1-K10), AII (I1-I3), pre-submission outreach (R1-R4), post-publication corrigenda (C1-C5), aggregate readiness",E,Pre_Publication_Checklist.md,specification,Claude-P3,2026-04-25,"Specifies what must clear before any submission. Each gate has acceptance status."
P-119,n/a,n/a,"Manuscript_Draft_v2.md produced in Phase P4 by applying all 27 patches from v2_patches.md to v1 (preserved as historical first draft); v2 is 1137 lines (+84 from v1)",E,Manuscript_Draft_v2.md + Phase_P4_OODA.md,patch application + 30-item Layer 1 acceptance checklist,Claude-P4,2026-04-25,"Layer 1 acceptance: 30/30 verified by automated text-fragment search."
P-120,n/a,n/a,"v2 Title: 'An Organic Operator and AI Operator Collaborative Review of Active Inference Free Energy Minimization: Reviewable Foundations, Reproducible Tests, and Open Tensions' -- replaces v1 'Pursuit of Pure Unification and Simplification'",E,Manuscript_Draft_v2.md:1,direct read,Claude-P4,2026-04-25,
P-121,n/a,n/a,"v2 Abstract states bound direction with explicit (A1)-(A3) parenthetical and reconciles 8/10 v2 confidence vs. 8.5/10 audit confidence",A,Manuscript_Draft_v2.md (Abstract),direct read,Claude-P4,2026-04-25,
P-122,n/a,n/a,"v2 Chapter 2 contains all three forms of master identity: Form 1 (energy-entropy), Form 2 (divergence-evidence), Form 3 (complexity-accuracy)",A,Manuscript_Draft_v2.md (Chapter 2) + audit_tests_v2.py Test 11,re-derivation + numerical anchor,Claude-P4,2026-04-25,"Form 3 added in P2 patch P-12; numerical verification in Test 11."
P-123,n/a,n/a,"v2 Appendix D Error Register: E2 split into E2a (bound direction) + E2b (misnomer); E7 refined to three loci with category-error finding; E8 has Layer 2 acceptance gate",A,Manuscript_Draft_v2.md (Appendix D),direct read,Claude-P4,2026-04-25,
P-124,n/a,n/a,"v2 Appendix E.2 documents four AI sessions: Audit, Drafting, Audit-of-Audit, P0-P4 Remediation -- complete provenance trail",E,Manuscript_Draft_v2.md (Appendix E.2),direct read,Claude-P4,2026-04-25,
P-125,n/a,n/a,"Phase P4 Layer 1 acceptance checklist (30 items) all PASS verified by Python text-fragment search; v2 production complete at the AI/Layer 1 level",A,Phase_P4_OODA.md + automated verification script,Layer 1 acceptance,Claude-P4,2026-04-25,"All 5 AI-executable phases (P0-P4) now complete. Layer 2 gates remain pending per Plan."
